province,year,PDRB per Orang yang Bekerja,PDRB per Kapita,Keluhan Kesehatan per Bulan (Persen),Keterbukaan Perdagangan,Sektor Formal,Pengangguran (Persen),Indeks Pembangunan Manusia,Belanja Pemerintah,Belanja Modal Pemerintah,Wilayah,Kemiskinan (Persen),Rasio Gini,Sanitasi yang Layak,Air Bersih,Tingkat Kelulusan Sekolah (SMA),Pertanian,Angka Harapan Hidup,PDRB Nominal,Populasi (ribuan),Investasi Sektor Swasta,PMA,PMDN
ACEH,2015,53.99059992,22524.31,27.92,0.944477716,0.395,8.83,69.45,37549.69,8553.03,Indonesia Bagian Barat,17.095,0.3365,54.68,61.23,68.16,37598.84918,69.54,129092659,5018.7,4457.4,265,4192.4
ACEH,2016,56.68077337,22835.29,25.78,0.902602087,0.4283,7.85,70,42180.53,9870.07,Indonesia Bagian Barat,16.58,0.337,62.68,63.31,74.46,40218.31085,69.565,136843818,5096.2,4298.75,1842.65,2456.1
ACEH,2017,56.17952593,23362.9,24.85,0.92082949,0.4042,6.98,70.6,43580.96,8920.15,Indonesia Bagian Barat,16.405,0.329,63.38,64.85,70.64,43363.35429,69.585,145806922.5,5189.5,1091.36,308.56,782.8
ACEH,2018,56.60846752,24013.79,30.18,0.903635061,0.4056,6.44,71.19,38767.1,6320.93,Indonesia Bagian Barat,15.825,0.3215,67.09,66.48,70.68,46365.38316,69.7,155910977,5281.3,1924.08,954.08,970
ACEH,2019,55.89763462,24842.3,29.33,0.880198199,0.4288,5.825,71.9,45620.69,8743.71,Indonesia Bagian Barat,15.165,0.3205,73.16,85.81,69.96,48438.86287,69.915,164162978.2,5371.5,5669.4,2062.5,3606.9
ACEH,2020,54.56729966,25018.28,27.12,0.869337017,0.3812,5.995,71.99,41793.83,6395.57,Indonesia Bagian Barat,15.21,0.321,77.06,87.66,70.07,51547.87558,69.975,166372320.7,5274.9,8976.94,735.84,8241.1
ACEH,2021,56.6284804,25357.4,25.16,0.868160629,0.3931,6.3,72.18,41973.49,6687.77,Indonesia Bagian Barat,15.43,0.3235,77.55,88.79,74.36,55611.31919,70.005,184976301.6,5333.7,10872.88,2968.18,7904.7
SUMATERA UTARA,2015,71.45181162,31637.41,23.04,0.771335654,0.3986,6.55,69.51,43420.14,8751.1,Indonesia Bagian Barat,10.66,0.331,67.89,71.41,59.54,125487.5129,68.335,571722008.8,13961.4,19863.65,15576.25,4287.4
SUMATERA UTARA,2016,75.22046534,32885.09,22.88,0.73710957,0.4002,6.165,70,49817.05,9788.06,Indonesia Bagian Barat,10.31,0.3155,72.86,70.61,69.69,134915.7985,68.385,626062907.4,14102.9,18765.59,13901.39,4864.2
SUMATERA UTARA,2017,77.55460956,34183.58,23.51,0.749897621,0.42,6.005,70.57,54296.78,10887.11,Indonesia Bagian Barat,9.75,0.325,73,70.07,67.16,146368.516,68.39,684634426.6,14262.1,31831.77,20148.17,11683.6
SUMATERA UTARA,2018,71.99584658,35570.5,24.86,0.771879455,0.4343,5.58,71.18,54147.82,9626.08,Indonesia Bagian Barat,9.08,0.3145,74.6,71.95,68.34,155077.1716,68.625,741347427.6,14415.4,24821.64,16449.84,8371.8
SUMATERA UTARA,2019,73.23357158,36853.59,26.28,0.712835451,0.45,5.48,71.74,57910.33,9604.46,Indonesia Bagian Barat,8.73,0.3175,79.59,90.22,65.21,164152.7536,68.995,799608954.2,14562.5,25441.5,5692.5,19749
SUMATERA UTARA,2020,73.16058749,36175.16,26.12,0.632061353,0.4038,5.81,71.77,53948.87,7117.9,Indonesia Bagian Barat,8.945,0.315,81.08,89.68,70.39,173074.95,69.15,811188308.8,14799.4,32226.62,14037.12,18189.5
SUMATERA UTARA,2021,77.90506761,36666.2,20.45,0.717343089,0.4067,6.17,72,55094.12,7371.71,Indonesia Bagian Barat,8.75,0.3135,82.02,90.89,72.81,189491.3623,69.28,859870945.4,14936.2,26958.34,8473.84,18484.5
SUMATERA BARAT,2015,60.33892067,27080.76,28.92,1.253638357,0.3559,6.44,69.98,22573.56,4361.57,Indonesia Bagian Barat,7.01,0.3305,45.02,66.58,58.04,44424.67995,68.7,179951980.3,5200.9,2266.25,713.75,1552.5
SUMATERA BARAT,2016,61.02704587,28164.93,29.38,1.199290819,0.382,5.45,70.73,23981.43,5187.4,Indonesia Bagian Barat,7.115,0.3215,53.24,67.33,64.97,47172.98114,68.775,196099176.6,5259.5,4882.01,1086.41,3795.6
SUMATERA BARAT,2017,63.25466697,29312.17,28.81,1.203884121,0.3561,5.69,71.24,25262.72,5126.25,Indonesia Bagian Barat,6.81,0.315,52.77,68.83,60.8,50501.85627,68.82,213893468.2,5321.5,4102.52,2585.52,1517
SUMATERA BARAT,2018,61.57568674,30470.8,29.37,1.196323758,0.3606,5.67,71.73,26017.45,4948.33,Indonesia Bagian Barat,6.6,0.313,56.85,69.53,65.34,53385.35297,69.045,230367222,5382.1,4732.12,2422.72,2309.4
SUMATERA BARAT,2019,65.65116695,31427.29,29.84,1.165427367,0.3787,5.38,72.39,27667.83,5232.86,Indonesia Bagian Barat,6.355,0.3085,63.98,81.44,60.32,54468.27028,69.355,245949737.2,5441.2,5383.1,2356.5,3026.6
SUMATERA BARAT,2020,61.65495479,30694.42,31.09,0.967666004,0.3372,6.065,72.38,25857.65,3519.43,Indonesia Bagian Barat,6.42,0.303,68.11,83.37,67.11,54117.75909,69.52,241993529.1,5534.5,4914.84,1808.64,3106.2
SUMATERA BARAT,2021,67.71981565,31360,24.51,0.979820376,0.3523,6.595,72.65,25844.84,3237.2,Indonesia Bagian Barat,6.335,0.303,68.68,83.4,70.06,54873.39368,69.635,252749645.4,5580.2,5161.9,978.2,4183.7
RIAU,2015,161.8429387,70769.78,29.71,0.576811786,0.5136,7.275,70.84,32211.52,8551.81,Indonesia Bagian Barat,8.62,0.365,51.3,74.24,57.28,144218.9134,70.975,652761630.9,6356.7,18110.5,8167.5,9943
RIAU,2016,163.7707414,70569.36,27.89,0.484180341,0.4637,6.685,71.2,29730.66,6285.25,Indonesia Bagian Barat,7.825,0.347,71.36,75.49,62.12,156234.4072,71,681699030.3,6501,18520.37,11906.67,6613.7
RIAU,2017,159.7707334,70740.43,27.28,0.57111515,0.473,5.99,71.79,29949.3,6133.99,Indonesia Bagian Barat,7.595,0.325,70.04,75.12,61.9,165988.0169,71.02,704705026.9,6657.9,24942.43,14112.63,10829.8
RIAU,2018,156.2194482,70736.77,29.61,0.574414242,0.4505,5.765,72.44,28817.91,4601.16,Indonesia Bagian Barat,7.3,0.337,71.48,79.68,63.71,167049.7966,71.22,752263066.3,6814.9,22897.26,13840.86,9056.4
RIAU,2019,160.9424725,72509.14,26.44,0.565320115,0.4778,5.56,73,32590.5,6202.05,Indonesia Bagian Barat,6.99,0.3305,80.04,87.42,58.78,174297.8773,71.525,760247508.9,6971.7,41802.2,15510,26292.2
RIAU,2020,157.7170058,76882.94,24.66,0.619535458,0.4403,5.62,72.71,30669.73,4459.02,Indonesia Bagian Barat,6.93,0.325,83.99,88.25,66.62,195583.471,71.65,728649985.3,6394.1,49641,15523.2,34117.8
RIAU,2021,162.0800036,77993.33,22.78,0.829679415,0.4543,4.69,72.94,31070.01,4331.27,Indonesia Bagian Barat,7.06,0.3265,83.64,89.76,68.94,226205.716,71.72,843211153,6493.6,53050.24,28052.44,24997.8
JAMBI,2015,75.9560911,36753.52,24.45,1.173046572,0.4135,3.535,68.89,14555.79,3532.59,Indonesia Bagian Barat,8.99,0.3525,58.21,62.75,49.05,43793.23859,70.605,155065656,3403.9,4886.45,1346.25,3540.2
